Year,Age,Gender,Educational Attainment,Personal Income,Population Count
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"A: 0 to 4,999",10741
2001/1/9 0:00,18 to 64,Female,No high school diploma,"H: 75,000 and over",10943
2001/1/9 0:00,00 to 17,Female,No high school diploma,"C: 10,000 to 14,999",11341
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"A: 0 to 4,999",11528
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","A: 0 to 4,999",12106
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","A: 0 to 4,999",17061
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"A: 0 to 4,999",18196
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"G: 50,000 to 74,999",18475
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"H: 75,000 and over",19659
2001/1/9 0:00,65 to 80+,Female,No high school diploma,"E: 25,000 to 34,999",20186
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","B: 5,000 to 9,999",23224
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"H: 75,000 and over",23963
2001/1/9 0:00,18 to 64,Female,No high school diploma,"G: 50,000 to 74,999",24592
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"F: 35,000 to 49,999",24599
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"F: 35,000 to 49,999",27349
2001/1/9 0:00,00 to 17,Female,No high school diploma,"B: 5,000 to 9,999",29280
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","C: 10,000 to 14,999",30456
2001/1/9 0:00,18 to 64,Female,No high school diploma,"F: 35,000 to 49,999",30741
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","H: 75,000 and over",33358
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"B: 5,000 to 9,999",34492
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"G: 50,000 to 74,999",35227
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"C: 10,000 to 14,999",36484
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"B: 5,000 to 9,999",37770
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","G: 50,000 to 74,999",39410
2001/1/9 0:00,65 to 80+,Male,No high school diploma,"E: 25,000 to 34,999",41437
2001/1/9 0:00,00 to 17,Male,No high school diploma,"B: 5,000 to 9,999",41863
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"G: 50,000 to 74,999",42710
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"A: 0 to 4,999",43907
2001/1/9 0:00,18 to 64,Male,No high school diploma,"H: 75,000 and over",48803
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"E: 25,000 to 34,999",50987
2001/1/9 0:00,65 to 80+,Male,Bachelor's degree or higher,"D: 15,000 to 24,999",52607
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","E: 25,000 to 34,999",55910
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"H: 75,000 and over",57029
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","G: 50,000 to 74,999",57036
2001/1/9 0:00,18 to 64,Female,High school or equivalent,"H: 75,000 and over",57292
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"B: 5,000 to 9,999",57811
2001/1/9 0:00,65 to 80+,Male,"College, less than 4-yr degree","H: 75,000 and over",58478
2001/1/9 0:00,65 to 80+,Female,High school or equivalent,"E: 25,000 to 34,999",58811
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"E: 25,000 to 34,999",58901
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"F: 35,000 to 49,999",59302
2001/1/9 0:00,65 to 80+,Female,"College, less than 4-yr degree","F: 35,000 to 49,999",59529
2001/1/9 0:00,65 to 80+,Female,Bachelor's degree or higher,"G: 50,000 to 74,999",61489
2001/1/9 0:00,65 to 80+,Male,High school or equivalent,"D: 15,000 to 24,999",64082
